ID Year,Year,Violent Crime,Food Insecurity,County,ID Geography,Slug Geography
2020,2020,381.8076477,0.131999999,"Tulare County, CA",05000US06107,tulare-county-ca
2020,2020,316.1567383,0.136000007,"Tuolumne County, CA",05000US06109,tuolumne-county-ca
2020,2020,240.4896698,0.075999998,"Ventura County, CA",05000US06111,ventura-county-ca
2020,2020,331.8894348,0.133000001,"Yolo County, CA",05000US06113,yolo-county-ca
2020,2020,413.7271118,0.149000004,"Yuba County, CA",05000US06115,yuba-county-ca
2019,2019,628.7819824,0.134000003,"Alameda County, CA",05000US06001,alameda-county-ca
2019,2019,442.4778748,0.151999995,"Alpine County, CA",05000US06003,alpine-county-ca
2019,2019,237.0707397,0.128000006,"Amador County, CA",05000US06005,amador-county-ca
2019,2019,327.057312,0.170000002,"Butte County, CA",05000US06007,butte-county-ca
2019,2019,327.2457275,0.129999995,"Calaveras County, CA",05000US06009,calaveras-county-ca
2019,2019,200.9580536,0.112999998,"Colusa County, CA",05000US06011,colusa-county-ca
2019,2019,336.0278015,0.111000001,"Contra Costa County, CA",05000US06013,contra-costa-county-ca
2019,2019,609.1091919,0.167999998,"Del Norte County, CA",05000US06015,del-norte-county-ca
2019,2019,217.5839386,0.116999999,"El Dorado County, CA",05000US06017,el-dorado-county-ca
2019,2019,541.7792358,0.144999996,"Fresno County, CA",05000US06019,fresno-county-ca
2019,2019,408.1413574,0.131999999,"Glenn County, CA",05000US06021,glenn-county-ca
2019,2019,432.1358032,0.171000004,"Humboldt County, CA",05000US06023,humboldt-county-ca
2019,2019,366.253479,0.150000006,"Imperial County, CA",05000US06025,imperial-county-ca
2019,2019,600.453064,0.116999999,"Inyo County, CA",05000US06027,inyo-county-ca
2019,2019,545.3378296,0.136000007,"Kern County, CA",05000US06029,kern-county-ca
2019,2019,443.3772278,0.136000007,"Kings County, CA",05000US06031,kings-county-ca
2019,2019,535.4731445,0.170000002,"Lake County, CA",05000US06033,lake-county-ca
